Father_node,Child_node,语义关系,发言类型(Child_node)
96   妈妈 61 岁 脑转 骨转 疑似 肝转 19 基因突变 服用 特罗 凯 妈妈 祈福,"  
 唑 磷酸 输 冲突 三周 四周 周期 输 副作用 停",0,1
33   妈妈 肺 腺癌 晚期 开帖 妈妈 携手 并进,脑转 单个 伽马刀 效果,0,1
未 分化 恶性 程度 预后 最差 条件 试试 PD1,说 太 道理     耐药 穿刺 活检 部位 肺部 原发灶 腰部 转移 瘤 办法 大夫 做 妈妈 医院 做 肺部 穿刺 好像 不太可能,1,2
解决 靶向 药,唑 膦 酸 立竿见影 副作用 骨转 后期 89 锶 XL184   卡博替 尼,1,2
药 C 蛋白 降下来 就行 这是 近期 治疗 目标 血压 降到 160 100 近期 目标 几天 两个 目标 吃 特罗 凯,谢谢您 父亲 月 日 做 消融 好多 痛 谢谢您,3,3
建议 楼主 加测 CA153 CA125 D 二聚体 隔 几个 月测,易瑞沙 耐药 楼主 2992,1,2
试试 有没有 效果 靶 向药 副作用 很大,楼主 年轻 听 草船 兄 先 试吃 特罗 凯先 特 买 印度 一点 贵 吃 印度 放心 药 再学 特和易 盲试 首选 脑转 草船 建议 先 试特 犹豫,1,2
  求教 求救 求助 关头 想搏 一搏 盲吃 靶向 药 求 大神 支招,药店 买 八宝 丹 先 稳住 肝功能 博 一把 靶向 八十 老人 感觉不好 做 姑息 保养 别太 遭罪,0,1
"化疗 期间 不用 内分泌 治疗 
 化疗 2992 方案 耐受 总共 做 疗程","关键 那位 病友 接受 内分泌 治疗 转移 病灶 ER 表达 
 接受 内分泌 治疗 ER 强 阳性 去势 效果",3,3
92   EGFR 突变 免疫组化 表达 腹膜 转移 肠 胀气 求 解决 胀气 方案,"请 补充 病人 年纪 抽烟 史 
 egfr 突变 一线 上易瑞沙",0,1
建议 手术 案例 先 化疗 降期 手术 控制 不错 类似 案例,"关键 那位 病友 接受 内分泌 治疗 转移 病灶 ER 表达 
 接受 内分泌 治疗 ER 强 阳性 去势 效果",3,3
11   医生 说 建议 靶药 21 号 外显子 L858R 点 突变,"美国 指南 更新 两年 突变 先 靶向 耐药 化疗 
 医生 抱 前 指南 想 化疗 赚钱",0,1
25   求助 帖   老公 肺 腺癌 晚期 疼痛 厉害 易瑞沙 耐药 求 论坛 高 指点 万分 感谢,理解 19 突变 加 T790M 首选 2992 21 突变 加 T790M 首选 易 特 联合 4002 读完 本楼 感想 憨豆 文章 算是 白写 喊 9291 想 只想 延长 生命 月 9291,0,1
挂 盐水 暂时 补充 营养 解决 设法 缩小 病灶,"办法 做 检查 
 我妈 做 检查 年纪 太大 84 岁 盲试 不错 喝水 呛 没事 手 不抖",1,2
病理 有没有 突变 情况 化疗 没错 条件 病人 沟通 早期 检测 做,效果 一两年 稳定 定期检查 就行了,3,3
用头 孢粉   敷 一敷 效果,说 太 道理     耐药 穿刺 活检 部位 肺部 原发灶 腰部 转移 瘤 办法 大夫 做 妈妈 医院 做 肺部 穿刺 好像 不太可能,1,2
补 材料 做 死 别着急,测 免疫 化组 ALK C MET HER VEGF EGFR ALK C MET 号 用克唑 替尼 XL184,3,2
反正 鳞癌 吉西 滨 紫杉醇 化疗 不行 铂 类 药太伤 身体 我爸 身体 很瘦 基因 未 突变 盲试 特罗 凯 至少 受 那苦 建议 学习 抽时间 做 笔记 相互 努力,化疗 不想 化疗 靶向 药 特罗 凯,1,2
86   31 岁 老公 查出 肝癌 晚期 挺 大肚子 六神无主,看不到 肿瘤 标志物 特异性 下次 增加 铁蛋白 AFU 医院 水飞 蓟宾 复方 斑蝥 夫塞米片 螺 内脂 片外 增加 抗病毒 药 拉米夫定 太 焦急 20 多天 复查 具体情况,0,1
贝伐 单用 胸腔 罐 帖子 妈妈 止住,白蛋白 太低 注射 白蛋白,3,3
做 基因 检测 对症 用药 爸爸 磷 腺,用过 方案 无效 真的 少见 楼 试一下 2992 阿西,1,2
读小 P 帖 吃 药 每月 轮换 一种 药 吃 每月 检查 AFP 肝癌 治疗,感觉 你家 药换 频繁 心急 原因 吃 时间 判定 无效 有时候 吃 几天 原因 导致 吃 几天 状态 不好 导致 药 无效,1,2
28   爸爸 80 岁 体检 肺癌 放弃 治疗,建议 穿刺 活检 做 基因 检测 针对性 靶向 药 控制,0,1
11   医生 说 建议 靶药 21 号 外显子 L858R 点 突变,耐药 化疗 少部分 患者 化疗 靶向 药 概率 事情 做好,0,1
"谢谢 回复 
 帕米 疼 放疗 184 
 爸爸 用帕米 副作用 特别 厉害 化疗 副作用 猛 
 我先 爸爸 评估 
 鳞癌 太 纠结 取 病理 转移 灶 低 分化 鳞癌 
 碰到 好几个 爸爸 类似 原发灶 多发 骨转 腺癌 怀疑 爸爸 原发 转移 猜猜 真的 希望 靶",楼主 年轻 听 草船 兄 先 试吃 特罗 凯先 特 买 印度 一点 贵 吃 印度 放心 药 再学 特和易 盲试 首选 脑转 草船 建议 先 试特 犹豫,1,2
体内 T790m 突变 清扫 9291 作用 受体 耐药 换 VEGFR 靶点 阿西 替尼 依托 泊苷 联合 BKM120,291 先加量 100 下步 联易,1,2
化疗 耐受 化 交流,第四次 化疗 纵膈 多发 淋巴结 预示 化疗 无效 依从 主治医生 化疗 只会 反作用,2,2
憨叔 有法 查下,憨叔 帖子 写,1,2
化疗 有钱赚 靶向 医生 控制 利益 方向,同意 妈妈 21 突变 化疗 效果 不错 化疗 耐受 靶向 药 不用 犹豫,1,2
992 联合 诺维,"关键 那位 病友 接受 内分泌 治疗 转移 病灶 ER 表达 
 接受 内分泌 治疗 ER 强 阳性 去势 效果",3,3
我家 易 11 月 耐     特 一个月 稳定   2992 一个月 60 毫克 无效   阿西 一个月 毫克       现 4002 试用 中     盲试,感觉 你家 药换 频繁 心急 原因 吃 时间 判定 无效 有时候 吃 几天 原因 导致 吃 几天 状态 不好 导致 药 无效,1,2
消毒 撒 云南白药 粉,双氧水 洗 患处 洗完 消炎药 药粉 撒上 创口 贴 包上 两天 一换 持续 两周 依然 不痛,3,2
野生型 吃 靶向 药 效果 女性 吸烟 先易瑞沙,我家 基因 检测 18 19 20 21 野生型 外显子 突变 培美 卡 铂 四个 疗程   进展 紫杉醇 顺铂 疗程 耐受 易瑞沙 两个 月 效果 好易 第三个 月 cea 大涨,3,3
61   重回 化疗 新 发现 多发 骨转 母亲 肺 鳞癌 骨转移 治疗 帖 --- 愿 爱能 母亲 走,鳞癌 只能 化疗 解决 试试 9291 2992 联合 特,0,1
真心 花 月 正版 钱 买 仿版,测 免疫 化组 ALK C MET HER VEGF EGFR ALK C MET 号 用克唑 替尼 XL184,3,2
脑转 无症状 不想 伽马刀 全脑放 建议 特罗 凯 易入 脑 几率 骨转 每月 打骨 转针 建议 供参考,手术 听 权威 医生 意见 我妈 检查 过程 腰部 核磁 发现 肿瘤 医生 怀疑 恶性 北京积水潭医院 肿瘤科 全身 骨 扫描 发现 骨盘 病变 腰 医生 怀疑 恶性肿瘤 可能性 一步 骨盆 穿刺 拍 胸片 发现 原发灶 肺部 双肺 全有 晚期 手术 穿刺 腺型 转到 北京协和医院 基因 检测 阳性 吃易瑞沙 第二个 月 医生 说 妈 症状 咳嗽 每月 医院 输 天晴依 泰 保护 骨头 检查 两个 月 吃 易瑞沙 治疗,3,3
医生 说 建议 肺部 放疗 肺部 放疗 病人 承受,测 免疫 化组 ALK C MET HER VEGF EGFR ALK C MET 号 用克唑 替尼 XL184,3,2
11   医生 说 建议 靶药 21 号 外显子 L858R 点 突变,医生 建议 先 化疗 靶向,0,1
楼主 我家 情况 我家 老爸 月 确诊 肺癌 期 湘雅 附一 确诊 我爸 丧失 手术 机会 老爸 抵制 化疗 中药 保守 治疗 半个 月 估计 中药 控制 不住 一步 化疗 爸 扩散 手术 预后 供参考 楼主 长沙人 愿 努力 渡过难关,中药 控制 不住 化疗 靶向,2,2
科幻 肝移植 后大 换血 减少 血 癌细胞   131 Lipitiol     放射 物 定期 冲洗   移植 肝 癌细胞 回归,992 打击 Her2 靶点 效果,3,2
唑 膦 酸 我家 天晴依 泰 第一次 发热 关节 疼 措施 一是 两天 服用 新癀 片 二是 空腹 三是 放慢 输液 速度 说明书 说 15 分钟 即可 建议 小时 输液 过程 中 饮 热水 打过 次,谢谢 下次 再用 办法 预防,1,2
靶向     盲式,兄弟 盲吃 靶向 脑 转骨转 盲吃易,1,2
化疗 不想 做 先 停下,我爸 疗程 11 天   血小板 白细胞 都还没 感觉 身体 吃不消 化疗 身体 恢复 吃 印特 化疗,1,2
吃 完 特罗 凯后 买 正版 改为 吃 印度 易瑞沙 找个 谱 卖家,测 免疫 化组 ALK C MET HER VEGF EGFR ALK C MET 号 用克唑 替尼 XL184,3,2
奖励 最佳 答复,中药 慢慢 调理,0,1
脱水 降颅 压 误吸 感染 要命 激素 减轻 脑水肿 病情 好转 可予 全脑 放疗 剂量 可分次 预防 并发症,说 9291 4002 加特 myheaven 说 毒副作用 小些 我妈 两天 脸色 发黄 4002 加易 副作用,1,2
  癌症 遥不可及 突降 父亲 身上 治疗 请求 指点,做 穿刺 做个 基因 检测 靶向 治疗 胸腔 积液 输液 太多 不好 先 对症 治疗,0,1
27   一个月 病情 爆发式 进展 多量 胸水 基因 未 突变 急求 高手 指点,叶子 姐 我妈脑 转移 市 医院 拍 次 CT 磁共振 姐姐 片子 上边 看不出来 电脑       步骤 从演 看清楚,0,1
楼主 化疗 双药 副作用 培美 单药 尝试 VEGFR 抗 血管 生成 药,脑部 关键 脑部 稳定 EGFR ALK 突变 培美 化疗 病人 状态 联铂 联合 凡德 尼 抗 血管 生成 药 副作用 单药 作用 较弱,3,2
28   爸爸 80 岁 体检 肺癌 放弃 治疗,先 小剂量 白介素 100 万 单位 香菇 多糖 试试 增强 免疫 控制 原发 肿瘤 白介素 香菇 多糖 辅助 治疗 慢阻 肺 治 癌 起码 改善 慢阻 肺 副作用 轻微,0,1
医生 建议 先 化疗 靶向,突变 先 化疗 四个 疗程     空窗   进展 靶向,1,2
母亲 67 岁 现服易 中,说 9291 4002 加特 myheaven 说 毒副作用 小些 我妈 两天 脸色 发黄 4002 加易 副作用,1,2
化疗 癌 没冶好 不行,化疗 停止 再用,1,2
  妈妈 肺腺 3B 治疗 年 2015.10 去逝 感谢 群,肿瘤 指标 敏感 CT 换药 建议 2992,0,1
9291 联合 184 无效 进展 建议 培美 联合 铂 培美 联合 凡德 进展 慢 试试 靶点 阿西 联合 120,说 9291 4002 加特 myheaven 说 毒副作用 小些 我妈 两天 脸色 发黄 4002 加易 副作用,1,2
阿法 替尼 比易 瑞沙多 HER2 靶点 对易瑞沙 耐药 T790M 突变 作用 化疗 估计 更好,测 免疫 化组 ALK C MET HER VEGF EGFR ALK C MET 号 用克唑 替尼 XL184,3,2
易瑞沙 特罗 凯是 适合 EGFR 基因突变 患者 突变 发生 腺癌 鳞癌 发生 突变 概率 不到 10% 鳞癌 化疗,扭转乾坤 不用 再受 化疗 之苦 好好 吃药 定期检查 养好 体质 放松 心情 日子,1,2
"情况 诺 雷德 来曲唑 起码 月 内分泌 治疗 期间 E2 内分泌 治疗 半年 新 病灶 癌细胞 低 雌激素 环境 
 低 雌激素 环境 途径 依赖 雌激素 利用 生长因子 刺激 生长 HER2 肝 穿刺 活检 结果显示 ER 阳性 强度 低 PR 转阴 癌细胞 依赖 雌激素 癌细胞 依赖 雌激素 去势 没用 实际上 绝经 女人 照样 乳腺癌 HER2 弱阳性 癌细胞 转而 依赖 HER2 路径 未能 肯定 只能 先 试试 残存 ER 赌一 赌 癌细胞 接触 雌激素 体外 实验 证明 低 雌激素 环境 乳腺癌 细胞 接触 雌激素 生长 速度 变慢 增加 ER 表达 新 环境","关键 那位 病友 接受 内分泌 治疗 转移 病灶 ER 表达 
 接受 内分泌 治疗 ER 强 阳性 去势 效果",3,3
"吃 特罗 凯 随身带 一瓶 印版 大夫 说易和凯 入脑 想 大夫 骗 主任医师 选 易       V   R   V     K     I 
 易 不好 改特 试试 
 2992 4002 药 购买 想备 家里",塞来 昔布 200MG 参考 深蓝 帖子 局部 止痛,3,3
  肝内 胆管 CA 术后 10 月 复发 记录 靶向 治疗,有骨转 2992 联合 184 吃,0,1
说 道理 病人 情况紧急 控制 病情 生命危险 9291 先上 控制 住 病情 更好 不行 就易加 184 阿西,"盐酸 吗啡 片 短效 药 小时 功效 奥施 康定 12 小时 长效 药               吗啡 服用 剂量 
 身体 状况不佳 化疗 尝试 半月 9291 疼痛 加剧 服用 参考 联合 用药 希望 疗效",2,2
"9291 
 T790 突变 目标 算 状况 不太 适宜 化疗 身体 跨 麻烦 9291 力挽狂澜 我妈 春节 前 情况 挺重 服 9291 两个 月 50 毫克 天 恢复 不错 你家 情况 剂量 低 新手 希望 高人 楼主","盐酸 吗啡 片 短效 药 小时 功效 奥施 康定 12 小时 长效 药               吗啡 服用 剂量 
 身体 状况不佳 化疗 尝试 半月 9291 疼痛 加剧 服用 参考 联合 用药 希望 疗效",2,2
试 9291 身体 试试 靶向 药 一种 不行 多种,暂时 换特 比易 药效 强 倍,1,2
"吃易 有没有 做过 肿瘤 标志物 检查 CEA 参照物 吃易 长时间 胸闷 咳嗽 感觉 有没有 好转 
 定期检查 肿瘤 标志物 前 两次 检查 几项 变化 检查 几项 参考",检查 CEA 吃易瑞沙 检查 CEA 那天 算 吃够 一个月 复查 CEA 易瑞沙,1,2
54   不幸 之中 大幸 找到 组织 找到 9291,骨质 改变 怀疑 骨转 建议 上唑来 膦 酸,0,1
求助 请问 特罗 凯 副反应 短暂 停药 特罗 凯已 服用 20 周 谢谢,想点 办法 补 材料 医生 推荐 找 医生 补 化疗 材料,0,1
单发 做 全脑 放 伽马刀 请教 前辈,伽马刀 贵 设备 医院 情况 转院,3,3
002 试试 我家 试 效果 不错,"阿法 替尼 2992 19 突变 易 特 
 19 突变 人群 很大 概率 
 你家 吃 2992 耐药 吃 易 特 耐药 
 T790M 新 突变 
 建议 执着 于易 特 变换 思路 4002 VEGFR 靶点 药 阿西 多吉 美等",1,2
条件 手术 医院,同意 妈妈 21 突变 化疗 效果 不错 化疗 耐受 靶向 药 不用 犹豫,1,2
谢谢 我家 12 月 吃 奥斯 康定 效果 换 吗啡 星期 吗啡 量 翻番 止不住 疼痛 t790m 突变 检测 前 天才 拿到 信心 4002 2992 9291 慢慢来 医生 4002 9291 知之甚少 喊 化疗 爱人 身体 承受 忧心如焚,"盐酸 吗啡 片 短效 药 小时 功效 奥施 康定 12 小时 长效 药               吗啡 服用 剂量 
 身体 状况不佳 化疗 尝试 半月 9291 疼痛 加剧 服用 参考 联合 用药 希望 疗效",2,2
胸膜 粘连 术 慎重 办法 办法 损害 肺 功能 平安 老师 写 贴子,父亲 一月 胸水 厉害 易瑞沙 吃 一个半月 水才 消了,3,3
爸爸 15 年 月 体检   长沙 湘雅 三院 检查 出肺 腺癌   状况   我该,楼主 我家 情况 我家 老爸 月 确诊 肺癌 期 湘雅 附一 确诊 我爸 丧失 手术 机会 老爸 抵制 化疗 中药 保守 治疗 半个 月 估计 中药 控制 不住 一步 化疗 爸 扩散 手术 预后 供参考 楼主 长沙人 愿 努力 渡过难关,0,1
情况 药物 副作用 憨豆 叔叔 推荐 睡前 喝一杯 淡盐水,吃 2992 靶向 药,2,2
医生 做法 版上 盲目 靶点 轮换 隐含 很大 危险性,父亲 一月 胸水 厉害 易瑞沙 吃 一个半月 水才 消了,3,3
试一下 克磋 替尼,盲试 风险 靶点 估计 突变 试试 克唑 替尼 常见 突变 HER 家族 ALK,1,2
肿瘤 生长 速度 局部 治疗 处理速度 刺激 肿瘤 进展 越 局部 治疗 停下来 吃 靶向 药 控制 住 全身 进展 多吉 美 无效 选择 索坦,仅靠 局部 治疗 毫无希望,1,2
莫昔芬 原理 竞争性 ER 阻止 癌细胞 接触 雌激素 莫昔芬 期间 体内 雌激素 水平 降低 癌细胞 高 雌激素 环境 中 莫昔芬 耐药 癌细胞 雌激素 途径 接触 雌激素 表达 ER 莫昔芬 遮挡 ER ER 结构 改变 莫昔芬 ER 诺 雷德 来曲唑 去势 手术 原理 降低 体内 雌激素 水平 癌细胞 表达 ER 没用 雌激素 生长 抑制,"关键 那位 病友 接受 内分泌 治疗 转移 病灶 ER 表达 
 接受 内分泌 治疗 ER 强 阳性 去势 效果",3,3
73   乳腺癌 年 转移 肝 骨 纵膈 双侧 肺门 淋巴 多发 转移 治疗 中,诺 雷德 依西美坦 效果 再加 依维莫司,0,1
中药 不用,谷维素 维生素 B12 两天,3,2
  误诊 肿瘤 标志物 837 指 CEA 癌坯 抗原 误诊 更何况 CT 报告 发现 肿瘤,骨 扫描 骨转移 增强 核磁共振 脑 转移 胸腹 CT 腹部 有无 转移 转移 手术 北京 找 大夫 手术 转移 一处 孤立 转移 灶 手术 找 权威 医生 手术 转移 多处 转移 手术 好处 坏处,3,3
肺 腺癌 IV 期 EGFR19 突变 11 月 妈妈 走,先 化疗 两次   效果 稳定 进展 换易瑞沙 特罗 凯,0,1
"阿法 替尼 2992 19 突变 易 特 
 19 突变 人群 很大 概率 
 你家 吃 2992 耐药 吃 易 特 耐药 
 T790M 新 突变 
 建议 执着 于易 特 变换 思路 4002 VEGFR 靶点 药 阿西 多吉 美等","入组 一线 2992 病友 经验 耐药 上易 特都 无效 
 试试 PF00299804 XL184 WZ4002 HM781 36B",1,2
L858R 突变 9291 试试,朋友 790M 9291 他家 用特 错,2,2
放弃 治疗 情况 忙 试易瑞沙 价格 比特 便宜 时间 前途 光明 吃药 易瑞沙 丹参片 吃 两种 药 外观 老人 看不出来,楼主 年轻 听 草船 兄 先 试吃 特罗 凯先 特 买 印度 一点 贵 吃 印度 放心 药 再学 特和易 盲试 首选 脑转 草船 建议 先 试特 犹豫,1,2
基因突变 盲试 易瑞沙 特罗 凯 突变 两 同一个 靶点,基因突变 靶向 机会 特罗 凯 试一试,1,2
甲沟炎,外科 整形科 拔甲 先 吃 消炎药 消炎 再拔,0,1
感染 用泰能 拜服 乐,试试 泰能 太 憨叔 提过 问下 医生 前提 三个 治疗 方法 乱用 相 蜂毒 疗法 泰能 选择,1,2
急 好不好 一股脑 药 全用 2992 要联 184 长期抗战 吃药 不见得 有大 效果 副作用 成倍增加 2992 70mg 184 心脏 毒性 很大 身体 跨 长期抗战 这是 慢性病 重药 速决战 能治好 慢下来 急,"关键 那位 病友 接受 内分泌 治疗 转移 病灶 ER 表达 
 接受 内分泌 治疗 ER 强 阳性 去势 效果",3,3
建议 手术 妈妈 年纪 病理 检查 再行 化疗 靶向,手术 听 权威 医生 意见 我妈 检查 过程 腰部 核磁 发现 肿瘤 医生 怀疑 恶性 北京积水潭医院 肿瘤科 全身 骨 扫描 发现 骨盘 病变 腰 医生 怀疑 恶性肿瘤 可能性 一步 骨盆 穿刺 拍 胸片 发现 原发灶 肺部 双肺 全有 晚期 手术 穿刺 腺型 转到 北京协和医院 基因 检测 阳性 吃易瑞沙 第二个 月 医生 说 妈 症状 咳嗽 每月 医院 输 天晴依 泰 保护 骨头 检查 两个 月 吃 易瑞沙 治疗,3,3
多吉 美 抑制 肿瘤 血管 生成 周后 试 2992 建议 联合 用药 联合 副作用 单药 单药 联合 留给,水晶 建议 2992,0,2
父亲 同事 穿刺 离去 父母 反对 穿刺 违背 意愿,做 基因 检测 论坛 野生型 用特 例子 试药 抓紧 试 没效 没什么,2,2
唑 膦 酸 本来 酸痛 关节 晚上 酸痛 辗转反侧 入睡 还好 发热 9291 停用 之中 希望 癌细胞 反攻,楼主 我家 骨 转 唑 磷酸 副 作 不小 换 几种 骨 转针 缓解 疼痛 放疗 没用 184 缓解 一部分 希望 希望 骨转 朋友 给予 指导 我家 治疗 贴 http www yuaigongwu com forum     id 15813 extra,1,2
"荤腥 吃 开胃 吃得下 易消化 排尿 护肝药 多吉 美 吃 抗病毒 药 乙肝 丙肝 丙肝 抗病毒 
 白蛋白 补充 豆浆 鸡蛋 猪瘦肉 
 估计 主治 不靠 谱 上些 不靠 谱 生物 治疗 换 一家 查 
 发烧 术后 感染 发烧 治疗 吃得下 拉 慢慢 手术 耐 点 症状 急忙 治疗 淡定",谢谢 正 一下子 回 吃 恩替 抗病毒 输液 保肝 明天 停 输液 开 护 肝 冲剂 丙肝 治疗 医生 放弃 态度 多吉 美 抗病毒 意义 情况 哪家 医院 治疗 发烧 少 低烧 癌热 明天 化验 肝功能 白蛋白 情况 完 阶段 蛋白 白天 睡觉 说话 力气 吃 一点 饭 半夜 跑 厕所 半个 小时 拉肚子 白天 小便 少 医生 说 肝功能 不行 上午 输液 液体 晚上 排出去 脚 肿 情况 谢谢 关心,1,0
放弃 奇迹 确实 试试 靶向,楼主 年轻 听 草船 兄 先 试吃 特罗 凯先 特 买 印度 一点 贵 吃 印度 放心 药 再学 特和易 盲试 首选 脑转 草船 建议 先 试特 犹豫,1,2
Q10 用能 气浪 信宜 买 药用 水飞用 天津 水林佳 即可,效果 一两年 稳定 定期检查 就行了,3,3
61   重回 化疗 新 发现 多发 骨转 母亲 肺 鳞癌 骨转移 治疗 帖 --- 愿 爱能 母亲 走,试药 过程 停掉 药 特罗 凯 效果 脑转 症状 体现 观察 体现 症状 放疗 化疗 暂时 停下 靶向 效果,0,1
21 突变 靶向 靶向 耐药 化疗 吃 回 靶向,方案 医生 不谋而合 看过 易 耐药 用特 月 耐药 凡德 印度,1,2
"楼主 你好 病情 控制 住 方式 倒 次要 太 纠结 化疗 这件 事 效果 总比 效果 强 希望 
 化疗 想法 医生 商量 化疗 周期 星期 拉长 星期 疗程 病情 保持稳定 赚 星期 进展 楼主 母亲 化疗 次数 每次 化疗 疗程 化疗 疗程 化疗 扭转 形势 找 合适 靶向 药 病情 靶向 药 看法 2012 年 月 服用 易瑞沙 12 月 中 复查 CT 发现 进展 楼主 易 无效 CEA 标志物 变化 猜测 有没有 一种 可能性 易 服用 量 服用 特罗 凯 事情 方向 发展   21 号 因子 突变 好像 19 号 因子 突变 麻烦 易 特 耐药 隔 一段时间 再服 耐药 楼主 帖子 讨论 http www yuaigongwu com forum php mod viewthread tid 9039 
 楼主 母亲 只试 种药 易 特 克药 楼主 化疗 试试 2992 联合 XL184 2992 打击 Her2 清除 T790M   XL184 骨转 清除 CMet 无效 4002 联合 XL184 4002 清除 T790M 先特 特 联合 XL184   再特 联合 4002 无效 我会 减量 再试 克药 阿西 凡德 AZD9291 BKM120 AP26113 可试 
 化疗 扭转 形势 楼主 试药 从容 可慌 
 XL184 血压 变化 血栓 4002 心脏 毒性 小心",谢谢 荷花池 荒岛 建议 我会 好好 研究 谢谢,1,2
84 CMET 靶点 V 靶点 ROS1 作用 9291 联合 184 作用 副作用 耐受 吃 你家 吃 184 心肌 受损 靶向 药 服用 保护 心脏 药 受损 辅酶 Q10 控制 住 心肌 受损,谢谢您 父亲 月 日 做 消融 好多 痛 谢谢您,3,3
医用 酒精 脚趾甲 消毒 再用 碘酒 消毒 紫药水 滴至 化脓 处 医用 纱布 包住 脚趾 围 一圈 3M 透气 胶带,说 太 道理     耐药 穿刺 活检 部位 肺部 原发灶 腰部 转移 瘤 办法 大夫 做 妈妈 医院 做 肺部 穿刺 好像 不太可能,1,2
这样的话 化疗 2992 50mg YL 一个月 拍 CT 肝脏 控制 局部 治疗,"关键 那位 病友 接受 内分泌 治疗 转移 病灶 ER 表达 
 接受 内分泌 治疗 ER 强 阳性 去势 效果",3,3
93   凯美纳 30 月 耐药 求助 憨叔 老马,加用 贝伐 联合 单药 化疗 用贝伐 化疗 杀死 凯美娜 耐药 细胞 吃 凯美娜,0,1
先 做 几次 化疗 化疗 做 基因 检测 后期 靶向 提供 指导,父亲 一月 胸水 厉害 易瑞沙 吃 一个半月 水才 消了,3,3
53   靶向 药 轮回 疑问,"下午 
 易瑞沙 吃 月 耐药 父亲 情况 类似 父亲 21 突变 一线 特罗 凯 月 耐药 CEA 升幅 感觉 阿西 无效 楼主 家才 月 易瑞沙 耐药 CMET 扩增 导致 E 靶点 药物 提前 耐药 一步 建议 易瑞沙 联合 280 184 试试 效果 建议 仅供参考 祝福 楼主 父亲",0,1
鲫鱼 赤小豆 熬 鱼汤 去除 胸水,建议 补充 营养 鱼汤 速愈素,1,2
舅妈 骨转 吃 靶向 几个 月 骨 转针 停,手术 听 权威 医生 意见 我妈 检查 过程 腰部 核磁 发现 肿瘤 医生 怀疑 恶性 北京积水潭医院 肿瘤科 全身 骨 扫描 发现 骨盘 病变 腰 医生 怀疑 恶性肿瘤 可能性 一步 骨盆 穿刺 拍 胸片 发现 原发灶 肺部 双肺 全有 晚期 手术 穿刺 腺型 转到 北京协和医院 基因 检测 阳性 吃易瑞沙 第二个 月 医生 说 妈 症状 咳嗽 每月 医院 输 天晴依 泰 保护 骨头 检查 两个 月 吃 易瑞沙 治疗,3,3
爸爸 吃   降 甲胎蛋白 效果   白细胞 血小板 降得 厉害   建议 先   量   靶向 药中   索坦 不太伤 肝功能 身体 耐受   试试看 阿西   药 实体 瘤     毫克 每日 两次   一共 12 14   毫克   尝试   祝 好运 危险   几个 药   肝脏 承受不住,说 太 道理     耐药 穿刺 活检 部位 肺部 原发灶 腰部 转移 瘤 办法 大夫 做 妈妈 医院 做 肺部 穿刺 好像 不太可能,1,2
60   妈妈 肺 腺癌 正易 月 化疗 次 2992 一个月 无效 4002 一个月 耐药 4002 易,化疗 尝试 VP16 BKM120 方案 身体 尝试 V 靶点 阿西 替尼凡德 尼,0,1
68   妈妈 情况危急 请 帮忙 主意 谢谢,8O4 联 184 280 试试 药 换得 太 频繁 药量 一点 仅供参考,0,1
