Father_node,Child_node,语义关系,发言类型(Child_node)
没有做基因检测吗？这样也好对症用药。还有你爸爸是磷还是腺？,用过这么多方案都无效真的好少见，楼主要不要试一下2992或者阿西？,1,2
读小P的帖，他吃过什么药你就全都准备，每月轮换一种药吃，每月检查一次AFP，这就是肝癌的全部的治疗。,感觉你家药换的比较频繁，可能是心急的原因吧，觉得还是吃到一定时间再判定有效无效，有时候刚吃几天，可能有别的原因导致吃的这几天状态不好，会导致你认为药无效。,1,2
28 爸爸80岁，体检肺癌，准备放弃治疗了,建议穿刺活检做基因检测，针对性用靶向药控制,0,1
11 医生为什么都说不建议直接上靶药，21号外显子L858R点突变,耐药后可以化疗，有少部分患者化疗后靶向药重新有效，但毕竟是小概率事情，要做好心里准备,0,1
"谢谢你的回复
帕米如果不止疼我就考虑放疗或者184，，
我爸爸用帕米副作用特别厉害，化疗的副作用都没有那么猛。。。
我先看看爸爸评估怎么样。。
鳞癌太纠结了，我们取病理是转移灶上的，是低分化鳞癌
可是我碰到好几个和我爸爸类似的，原发灶小，多发骨转，他们都是腺癌，我十分怀疑我爸爸是不是原发和转移不同。。。也只是猜猜，真的很希望能靶。。。",楼主好年轻！听草船兄的，先不要管那么多了，试吃特罗凯先。特你买印度的就可以，一点不贵，大家都吃印度的，放心吧。其它的药你后面再学，特和易基本都是盲试首选。你有脑转，所以草船建议你先试特。别犹豫了。,1,2
体内T790m突变被清扫的差不多了，9291失去了作用的受体，完全耐药，换VEGFR靶点的阿西替尼、或者依托泊苷联合BKM120.,291可以先加量至100，再下步可以联易。,1,2
化疗耐受+有效，可化。多交流!,第四次化疗纵膈多发淋巴结，已经预示化疗无效，如果还依从主治医生继续化疗只会起反作用。,2,2
憨叔有法，去查下吧。,憨叔帖子有写,1,2
化疗才有钱赚，靶向不是医生能控制的利益方向,十分同意，我妈妈也是21突变，化疗效果不错但要是化疗不能耐受者，可以上靶向药不用犹豫,1,2
992联合诺维本,"关键是你那位病友之前有没接受过内分泌治疗，转移病灶ER表达是怎样的。
如果之前没有接受过内分泌治疗，而且ER强阳性，那么去势的效果就很好。",3,3
我家易11个月耐  特一个月稳定 2992一个月60毫克无效 阿西一个月5毫克·2有效   现4002试用中  全部盲试。,感觉你家药换的比较频繁，可能是心急的原因吧，觉得还是吃到一定时间再判定有效无效，有时候刚吃几天，可能有别的原因导致吃的这几天状态不好，会导致你认为药无效。,1,2
消毒后撒云南白药粉。,每天用双氧水洗患处，洗完用消炎药的药粉撒上，然后用创口贴包上。最近是两天一换，已经持续两周左右了，依然没有好，但是已经不痛了！,3,2
野生型吃靶向药也有效果很好的，女性，不吸烟还是先易瑞沙。,我家基因检测18、19、20、21野生型，第2外显子突变。培美+卡铂四个疗程 进展紫杉醇+顺铂一个疗程不耐受易瑞沙两个月效果非常好易第三个月cea大涨,3,3
61 重回化疗，新发现多发骨转，母亲肺鳞癌骨转移治疗帖---愿我的爱能让母亲一直走...,鳞癌看来只能化疗来解决了吗？没有试试9291或者2992联合特吗,0,1
真心觉得花6个月的正版的钱，还不如买仿版的,"可以考虑测以下5个免疫化组：ALK,C-MET,HER-2,VEGF,EGFR，如果ALK或C-MET有+号，就可以用克唑替尼或XL184",3,2
如果现在脑转无症状，不想上伽马刀或全脑放，建议上特罗凯，易入脑几率较小，骨转每月打骨转针。个人建议供参考。,具体能不能手术还是要听权威医生的意见，我妈的检查过程是这样的:腰部核磁发现肿瘤，医生很怀疑是恶性，但也不敢确定，后去北京积水潭医院肿瘤科，全身骨扫描，发现骨盘病变范围大，腰2也有，医生怀疑恶性肿瘤的可能性大，下一步骨盆穿刺，拍胸片发现原发灶在肺部，双肺全有了，晚期不能手术，穿刺结果腺型，后转到北京协和医院，基因检测阳性，直接吃易瑞沙，现在是第二个月，医生说已经很严重了，但我妈没有任何症状，咳嗽都是偶尔的，现在每月去医院输天晴依泰，保护骨头，这些检查用了两个月才吃上易瑞沙治疗。,3,3
医生说不建议肺部放疗，因为整个肺部放疗，怕病人承受不了,"可以考虑测以下5个免疫化组：ALK,C-MET,HER-2,VEGF,EGFR，如果ALK或C-MET有+号，就可以用克唑替尼或XL184",3,2
11 医生为什么都说不建议直接上靶药，21号外显子L858R点突变,医生一般都会建议先化疗再靶向的,0,1
楼主好，我家情况与你一样，我家老爸也是在4月确诊肺癌4期，在湘雅附一确诊。但是我爸丧失了手术机会，因为老爸抵制化疗，故目前采取中药保守治疗了半个月，但是估计中药控制不住，下一步准备采取化疗。目前你爸如果没有扩散，可以考虑手术，预后一般是比较好的，供参考。另外我与楼主一样，也是长沙人，愿我们一起努力，渡过难关！,中药是控制不住的，化疗吧，或者靶向,2,2
科幻一下，肝移植后大换血减少血的癌细胞，然后用 131-Lipitiol  放射物定期冲洗 移植肝，避免癌细胞回归。,992看看打击Her2靶点的效果。,3,2
关于唑来膦酸，我家打的也是天晴依泰，第一次打发热明显，关节疼，之后采取以下措施：一是打之前2两天服用新癀片，二是不要空腹，三是放慢输液速度，说明书说15分钟以上即可，建议1个小时，输液过程中可饮热水，后来有打过2次，无明显反应。,好，谢谢。下次再用，就按照你的办法预防。,1,2
直接靶向  盲式,兄弟直接盲吃靶向吧，我也是脑转骨转，盲吃易的,1,2
化疗不想做就先停下。,我爸现在一个疗程下来，到今天都11天了， 血小板和白细胞都还没上来，感觉身体有点吃不消啊，不敢在化疗了，等身体恢复一下，准备吃印特了，不化疗了,1,2
吃完这些特罗凯后不要再买正版的，改为吃印度易瑞沙，找个靠谱的卖家。,"可以考虑测以下5个免疫化组：ALK,C-MET,HER-2,VEGF,EGFR，如果ALK或C-MET有+号，就可以用克唑替尼或XL184",3,2
奖励最佳答复,用中药慢慢调理,0,1
适当脱水降颅压，防止误吸，感染会要命的。可以适当用激素减轻脑水肿，病情好转可予全脑放疗，但剂量可分次完成，预防并发症。,不是说9291基本是4002加特吗？不过myheaven你说的也对，毒副作用小些，我觉得我妈这两天脸色有点发黄，不会是4002加易的副作用吧？,1,2
3 本以为癌症遥不可及，谁知突降父亲身上。怎么治疗请求大家指点,都做过穿刺了，应该做个基因检测，出结果后看是否可以靶向治疗，现在胸腔积液，输液太多也不好，可以先对症治疗。,0,1
27 一个月病情爆发式进展，多量胸水，基因未突变，急求高手指点！,叶子姐，我妈脑转移在市医院拍了2次CT都没哟用！必须磁共振，小的姐姐在片子上边还看不出来，只有在电脑上   步骤从演才能看清楚,0,1
楼主还是要考虑化疗，如果双药副作用大，是不是可以考虑培美单药，或者尝试下VEGFR的抗血管生成药。,脑部是关键，脑部稳定了。因为没有EGFR、ALK都没有突变，还是考虑培美化疗吧，根据病人状态联铂或者联合凡德他尼，这个也是抗血管生成药，但是副作用相对较小，而且单药作用也较弱。,3,2
28 爸爸80岁，体检肺癌，准备放弃治疗了,这时可以先用小剂量白介素2（100万单位以下）+香菇多糖试试增强免疫，控制原发肿瘤。白介素2和香菇多糖本身也辅助治疗慢阻肺，治不了癌也起码改善一下慢阻肺，副作用也极为轻微。,0,1
医生一般都会建议先化疗再靶向的,1突变可以先化疗四个疗程  有效就空窗 进展后再靶向,1,2
我母亲也67岁，现服易中，坚持。,不是说9291基本是4002加特吗？不过myheaven你说的也对，毒副作用小些，我觉得我妈这两天脸色有点发黄，不会是4002加易的副作用吧？,1,2
不能再化疗了，否则癌没冶好，人却不行了。,化疗我看还是停止的好，以后再用。,1,2
2 妈妈肺腺3B治疗3年半，2015.10.9去逝，感谢群帮助,肿瘤指标不敏感，以后还是要靠CT。换药也不方便，我建议继续2992.,0,1
如果9291联合184无效，进展快建议培美联合铂，或者培美联合凡德。进展慢可以试试其他靶点阿西联合120,不是说9291基本是4002加特吗？不过myheaven你说的也对，毒副作用小些，我觉得我妈这两天脸色有点发黄，不会是4002加易的副作用吧？,1,2
阿法替尼就是比易瑞沙多一个HER2靶点，以及对易瑞沙耐药产生的T790M突变有一些作用。化疗估计更好一些。,"可以考虑测以下5个免疫化组：ALK,C-MET,HER-2,VEGF,EGFR，如果ALK或C-MET有+号，就可以用克唑替尼或XL184",3,2
易瑞沙，特罗凯是适合EGFR基因突变的患者使用，而这个突变主要发生在腺癌里面，鳞癌发生突变的概率不到10%，鳞癌主要还是以化疗为主,蛮好！扭转乾坤，不用再受化疗之苦了。好好吃药，定期检查，养好体质，放松心情，以后日子有的过。,1,2
"你的情况是之前诺雷德+来曲唑是有效的，起码有效3个月，而内分泌治疗期间E2一直是正常的。内分泌治疗半年后出现新病灶，说明这些癌细胞是适应低雌激素环境的。
适应低雌激素环境的途径，就是不依赖雌激素，利用其他生长因子刺激生长，比如通过HER2。肝穿刺活检的结果显示ER+，阳性强度比之前低许多了，PR则转阴了，表示癌细胞已经基本不依赖雌激素了，如果癌细胞不再依赖雌激素了，去势也没用，实际上绝经的女人照样得乳腺癌。HER2仍然是弱阳性，癌细胞是否转而依赖HER2路径未能肯定，但只能先试试。由于仍然残存ER，现在就是赌一赌，让癌细胞重新接触雌激素，体外实验证明适应低雌激素环境的乳腺癌细胞重新接触雌激素生长速度会变慢，同时会逐步增加ER表达适应新环境。","关键是你那位病友之前有没接受过内分泌治疗，转移病灶ER表达是怎样的。
如果之前没有接受过内分泌治疗，而且ER强阳性，那么去势的效果就很好。",3,3
"我当时也以为要吃特罗凯的，还随身带了一瓶印版的。但是大夫说易和凯更容易入脑。我想大夫应该不会骗我的吧，他是主任医师呢。所以就选了易。7 u. w/ V- R, V. }- K; s! I
如果易不好我们再改特试试吧。
不知道大家都2992，4002之类的药是怎么购买的，我也想备一些在家里。",同时用了塞来昔布200MG每天，（参考了深蓝的帖子），同时我们也用它来加强局部止痛。,3,3
8 肝内胆管CA术后10个月复发，记录靶向治疗,有骨转可以2992联合184一起吃,0,1
我觉得你们说的都有道理，但是病人现在情况紧急，必须马上控制病情，否则有生命危险。9291先上，能控制住病情更好，如果不行，就易加184。阿西也可以考虑。,"“盐酸吗啡片”吗？这个是短效药，只有4小时功效！奥施康定是12小时长效药!       吗啡服用剂量现在多少？
身体状况不佳，不要继续化疗~可以坚持尝试半月9291~若疼痛不再加剧，也继续坚持服用~或参考联合用药！希望有较好的疗效！坚持~~~",2,2
"个人也觉得直接9291会好一些
T790突变，目标应该算比较明确了，现在的状况似乎不太适宜化疗了。身体跨了就麻烦了。直接上9291，或许可以力挽狂澜。我妈春节前的情况也挺重，服了9291两个月50毫克/天，目前恢复不错。但以你家的情况来看，这样的剂量可能低了，我也是新手，希望有高人给楼主帮助。","“盐酸吗啡片”吗？这个是短效药，只有4小时功效！奥施康定是12小时长效药!       吗啡服用剂量现在多少？
身体状况不佳，不要继续化疗~可以坚持尝试半月9291~若疼痛不再加剧，也继续坚持服用~或参考联合用药！希望有较好的疗效！坚持~~~",2,2
后来试了9291，现在身体很好。你也可以试试靶向药，一种不行还有其他好多种,我觉得暂时换特是可以的，毕竟比易药效强2-3倍。,1,2
"吃易之前有没有做过肿瘤标志物检查，一般是以CEA为参照物，现在吃易这么长时间，本人（胸闷、咳嗽之类的）感觉有没有好转？
定期检查肿瘤标志物，前两次多检查几项，看看哪个变化大，以后就检查哪几项为参考。",检查CEA，继续吃易瑞沙，从检查CEA那天算起，吃够一个月再复查CEA，以明确易瑞沙究竟有没有效。,1,2
54 不幸之中的大幸，找到了组织，找到了9291,骨质改变怀疑骨转，建议上唑来膦酸。,0,1
求助！请问大家特罗凯副反应严重，能够短暂停药吗？特罗凯已服用第20周。谢谢！,可以想点办法补材料，哪个医生推荐的就找哪个医生补化疗材料,0,1
单发的应该不做全脑放啊？应该是伽马刀吧，请教其他前辈,伽马刀是比较贵的设备，也不是每个医院都有。看情况可以转院,3,3
002试试吧，我家试了效果不错,"阿法替尼就是2992，对19突变的有效。和易、特一样的。
针对19突变的人群很大概率上有效。
但是你家已经吃2992耐药了。那再吃易、特，也可能耐药。
因为可能产生了T790M的新突变。
个人建议不能再执着于易与特了。要变换思路，可考虑4002，或者考虑VEGFR靶点的药，比如阿西、多吉美等。",1,2
如果有条件，尽量手术吧，可以去好一些的医院,十分同意，我妈妈也是21突变，化疗效果不错但要是化疗不能耐受者，可以上靶向药不用犹豫,1,2
谢谢，但我家在12月就吃过奥斯康定，没有效果才换的吗啡。最近一星期吗啡量翻番，却还是止不住疼痛。t790m突变的检测前天才拿到，都没有信心4002、2992、9291慢慢来了。医生对4002、9291知之甚少，就喊化疗，但我爱人的身体已经承受不起了。忧心如焚,"“盐酸吗啡片”吗？这个是短效药，只有4小时功效！奥施康定是12小时长效药!       吗啡服用剂量现在多少？
身体状况不佳，不要继续化疗~可以坚持尝试半月9291~若疼痛不再加剧，也继续坚持服用~或参考联合用药！希望有较好的疗效！坚持~~~",2,2
胸膜粘连术一定要慎重，这是无办法的办法，会严重损害肺功能，你可以看一下平安老师写的贴子,我父亲今年一月胸水也很厉害，易瑞沙吃了一个半月水才消了,3,3
爸爸15年4月去体检 在长沙湘雅三院检查出肺腺癌 目前还无任何状况 我该怎么办,楼主好，我家情况与你一样，我家老爸也是在4月确诊肺癌4期，在湘雅附一确诊。但是我爸丧失了手术机会，因为老爸抵制化疗，故目前采取中药保守治疗了半个月，但是估计中药控制不住，下一步准备采取化疗。目前你爸如果没有扩散，可以考虑手术，预后一般是比较好的，供参考。另外我与楼主一样，也是长沙人，愿我们一起努力，渡过难关！,0,1
看情况似乎是药物的副作用，之前看憨豆叔叔推荐睡前可喝一杯淡盐水,"我正在吃2992.没有这个问题,应该不是靶向药的问题.",2,2
医生的做法没问题。版上盲目的靶点轮换隐含着很大的危险性。,我父亲今年一月胸水也很厉害，易瑞沙吃了一个半月水才消了,3,3
试一下克磋替尼。,盲试风险比较大，e靶点估计没有突变，试试克唑替尼吧，常见突变就在HER家族和ALK。,1,2
现在肿瘤的生长速度比局部治疗的处理速度要快很多，这时越是刺激肿瘤进展有可能越快，局部治疗最好停下来，直到吃上有效的靶向药控制住全身的进展再考虑。多吉美无效，最好的选择是索坦，,仅靠局部治疗毫无希望,1,2
他莫昔芬的原理是这样的，竞争性地与ER结合，阻止癌细胞接触雌激素，所以使用他莫昔芬期间，体内的雌激素水平是不会降低的，癌细胞一直在高雌激素环境中，因此他莫昔芬耐药，不一定是癌细胞不需要雌激素了，而是通过其他途径接触到雌激素了，比如表达更多ER，使他莫昔芬不能完全遮挡ER；或者ER结构改变，他莫昔芬与ER结合不了。诺雷德、来曲唑和去势手术的原理则是降低体内雌激素水平，这样癌细胞即使表达再多ER也没用，因为没雌激素了，生长就会受到抑制。,"关键是你那位病友之前有没接受过内分泌治疗，转移病灶ER表达是怎样的。
如果之前没有接受过内分泌治疗，而且ER强阳性，那么去势的效果就很好。",3,3
73 乳腺癌2年后转移肝、骨、纵膈及双侧肺门淋巴多发转移治疗进行中......,诺雷德+依西美坦。如果效果不明显再加依维莫司。,0,1
中药还是不用了吧,用谷维素和维生素B12用两天就好了。,3,2
. 是否误诊：肿瘤标志物837，是指CEA(癌坯抗原）吗？如果是的话，应该不是误诊，更何况CT报告已经发现肿瘤。,骨扫描看是否骨转移，增强核磁共振看是否脑转移，胸腹CT看腹部有无转移，如果都没有转移，可以手术，但最好到北京找好的大夫手术。如果有转移，但仅有一处，即孤立转移灶，仍然可以手术，但一定要找权威医生进行手术如果有转移且有多处转移，不要手术，没有好处，只有坏处,3,3
肺腺癌IV期，EGFR19突变，11个月妈妈走了,可以先化疗两次 效果如果是稳定或者进展都可以立即换易瑞沙或者特罗凯,0,1
"阿法替尼就是2992，对19突变的有效。和易、特一样的。
针对19突变的人群很大概率上有效。
但是你家已经吃2992耐药了。那再吃易、特，也可能耐药。
因为可能产生了T790M的新突变。
个人建议不能再执着于易与特了。要变换思路，可考虑4002，或者考虑VEGFR靶点的药，比如阿西、多吉美等。","根据入组一线2992的病友经验，耐药后上易，特都无效。
可以试试PF00299804，XL184，WZ4002，HM781-36B.",1,2
L858R有突变，用9291试试呢,朋友，790M才用9291.他家用特没有错,2,2
所以你应该不要放弃治疗，这种情况忙试易瑞沙最好了，价格比特便宜，有效的话时间前途一片光明的，他不愿意吃药你就把易瑞沙和丹参片一起吃，这两种药外观比较像的，老人应该看不出来。,楼主好年轻！听草船兄的，先不要管那么多了，试吃特罗凯先。特你买印度的就可以，一点不贵，大家都吃印度的，放心吧。其它的药你后面再学，特和易基本都是盲试首选。你有脑转，所以草船建议你先试特。别犹豫了。,1,2
无基因突变可以盲试易瑞沙或者特罗凯，很多没突变的都有效，不过这两是同一个靶点的。,少数无基因突变靶向仍有机会有效，所以特罗凯最好能试一试。,1,2
严重甲沟炎怎么办,外科的直接让我去整形科，拔甲！让先吃消炎药，消炎了再拔,0,1
感染，用泰能，或者拜服乐,试试泰能吧，但我也不太了解这个，憨叔提过这个。你问下医生能不能用。我之前提的那三个是另外的治疗方法，不是有彻底了解的话是不能乱用的。相比较来说，蜂毒疗法或者泰能是最实际的选择。,1,2
你不要急好不好，别一股脑把药全用上。2992还有效，为什么要联184呢？没必要啊，这个是长期抗战。多吃药不见得有大效果，副作用可是成倍增加，2992已经70mg了加上184，心脏毒性可是很大的，身体跨了，还怎么长期抗战？这是慢性病，不是你下重药打速决战就能治好的。慢下来，不要急。,"关键是你那位病友之前有没接受过内分泌治疗，转移病灶ER表达是怎样的。
如果之前没有接受过内分泌治疗，而且ER强阳性，那么去势的效果就很好。",3,3
不建议手术，妈妈年纪不大，对病理检查后再行决定是化疗还是靶向。,具体能不能手术还是要听权威医生的意见，我妈的检查过程是这样的:腰部核磁发现肿瘤，医生很怀疑是恶性，但也不敢确定，后去北京积水潭医院肿瘤科，全身骨扫描，发现骨盘病变范围大，腰2也有，医生怀疑恶性肿瘤的可能性大，下一步骨盆穿刺，拍胸片发现原发灶在肺部，双肺全有了，晚期不能手术，穿刺结果腺型，后转到北京协和医院，基因检测阳性，直接吃易瑞沙，现在是第二个月，医生说已经很严重了，但我妈没有任何症状，咳嗽都是偶尔的，现在每月去医院输天晴依泰，保护骨头，这些检查用了两个月才吃上易瑞沙治疗。,3,3
用多吉美抑制肿瘤血管生成2周后试2992，目前不建议联合用药，联合副作用大，还有能单药就单药，联合留给以后。,水晶，我个人建议你使用2992，,0,2
因为父亲的一个同事，因穿刺后不久即离去，我父母均反对穿刺。我不能也无法违背其意愿。,没做基因检测。论坛也有野生型用特有效的例子。现在能试药还是抓紧试。没效也没什么，有效就不一样了。,2,2
用了唑来膦酸，本来没有酸痛的关节晚上全都酸痛起来，辗转反侧无法入睡，还好没有明显发热。9291还在停用之中，希望癌细胞没有大举反攻。,楼主，我家也是骨转，唑来磷酸的副作不小，而且换几种骨转针也没缓解疼痛，放疗也没用，现在184能缓解一部分，希望对你有帮助。也希望骨转的朋友给予指导。我家的治疗贴。http://www.yuaigongwu.com/forum. ... id=15813&extra=,1,2
"1.不是荤腥不能吃，开胃吃得下易消化就好2.排尿如何，护肝药有没同时和多吉美一起吃，抗病毒药呢，乙肝和丙肝，那丙肝的抗病毒
3.白蛋白补充，豆浆或鸡蛋白，猪瘦肉
4.估计你的主治不靠谱，不断让你们上些不靠谱的生物治疗，暗中换一家查一下。
5.发烧很多术后都会，如果不存在感染和其他问题，就不考虑针对发烧治疗，只要吃得下，拉得出，慢慢会好。手术都耐过来了。别出现点小症状就急忙各种治疗，淡定。",谢谢你，大正，一下子回了这么多。目前在吃恩替抗病毒，输液保肝，明天开始停输液开了护肝冲剂，丙肝目前没有针对治疗。医生就是放弃的态度，认为多吉美，抗病毒都没意义，现在这种情况去哪家医院基本都是这样，没有积极治疗的。我们最近发烧比较少，基本都是低烧，考虑还是癌热。明天化验，看下现在的肝功能怎么样，主要看白蛋白现在是什么情况，今天刚打完这个阶段的蛋白。现在基本白天都在睡觉，说话的力气都很少了，吃一点饭。半夜开始跑厕所，半个多小时一次，最近又开始拉肚子。白天小便较少，医生说肝功能不行了，上午输液的液体，到晚上才能排出去，现在脚还肿着的。当前就是这种情况，谢谢你的关心了。,1,0
不放弃才会出现奇迹，确实应该试试靶向。,楼主好年轻！听草船兄的，先不要管那么多了，试吃特罗凯先。特你买印度的就可以，一点不贵，大家都吃印度的，放心吧。其它的药你后面再学，特和易基本都是盲试首选。你有脑转，所以草船建议你先试特。别犹豫了。,1,2
Q10用能气浪或信宜的，要买药用的，水飞用天津水林佳的即可,效果好的话可以一两年稳定，只定期检查就行了。,3,3
61 重回化疗，新发现多发骨转，母亲肺鳞癌骨转移治疗帖---愿我的爱能让母亲一直走...,试药过程最好停掉其他没必要的药，才能明确特罗凯的效果。脑转如果没有症状体现出来的话观察就好，有体现出来的症状要放疗。化疗暂时停下，看靶向效果。,0,1
21突变为什么不靶向？靶向耐药后可以考虑化疗，然后再吃回靶向。,你的方案和我们这里医生不谋而合。不过我也看过易耐药后直接用特2个月耐药的。凡德印度没有。,1,2
